Edge TPU Compiler version 2.0.267685300
Input: saved_model/cifar10_post_quant_model_io.tflite
Output: cifar10_post_quant_model_io_edgetpu.tflite

Operator                       Count      Status

MEAN                           1          Mapped to Edge TPU
SOFTMAX                        1          Mapped to Edge TPU
FULLY_CONNECTED                1          Mapped to Edge TPU
ADD                            33         Mapped to Edge TPU
MAX_POOL_2D                    1          Mapped to Edge TPU
QUANTIZE                       1          Operation is otherwise supported, but not mapped due to some unspecified limitation
PAD                            2          Mapped to Edge TPU
CONV_2D                        104        Mapped to Edge TPU
DEQUANTIZE                     1          Operation is working on an unsupported data type
